question,actual results,our results
Who is the mayor of the capital of French Polynesia?,capital,capital/part/birthPlace
Which river does the Brooklyn Bridge cross?,crosses,writer/crosses/associatedBand
Which books by Kerouac were published by Viking Press?,publisher/author,publisher/based/developer
How many inhabitants does the largest city in Canada have?,largestCity,city/largestCity/country
Who created Family Guy?,creator,creator/associatedBand/associatedMusicalArtist
Who created Wikipedia?,author,creator/associatedBand/associatedMusicalArtist
Who is the president of Eritrea?,leader,residence/birthPlace/almaMater
In which country does the Nile start?,sourceCountry,associatedBand/associatedMusicalArtist/influencedBy
To which party does the mayor of Paris belong?,party,party/birthPlace/residence
How often did Jane Fonda marry?,spouse,parent/associatedBand/associatedMusicalArtist
Does Abraham Lincoln's death place have a website?,deathPlace,relation/associatedBand/associatedMusicalArtist
Who is the coach of Ankara's ice hockey team?,city/league/coach,coach/team/managerClub
Give me all cities in New Jersey with more than 100000 inhabitants.,isPartOf,city/country/state
When did Dracula's creator die?,creator,creator/child/associatedMusicalArtist
Did Arnold Schwarzenegger attend a university?,almaMater,university/almaMater/team
Who was married to president Chirac?,spouse,parent/spouse/child
In which countries do people speak Japanese?,language,spouse/associatedBand/associatedMusicalArtist
Which awards did Douglas Hofstadter win?,award,award/team/formerTeam
Who is starring in Spanish movies produced by Benicio del Toro?,country/producer/starring,starring/producer/writer
Is Rita Wilson the wife of Tom Hanks?,spouse,relation/writer/spouse
Who is the son of Sonny and Cher?,parent/parent,spouse/predecessor/relation
Who composed the music for Harold and Maude?,musicComposer,spouse/company/associatedBand
Who wrote the book The Pillars of the Earth?,author,party/writer/associatedBand
Whom did Lance Bass marry?,spouse,parent/spouse/child
Was Natalie Portman born in the United States?,birthPlace/country,country/birthPlace/nationality
Who are the developers of DBpedia?,developer,developer/associatedBand/associatedMusicalArtist
Who discovered Ceres?,discoverer,discoverer/associatedMusicalArtist/associatedBand
Is Christian Bale starring in Velvet Goldmine?,starring,starring/award/birthPlace
Who is the host of the BBC Wildlife Specials?,presenter,team/associatedBand/knownFor
How many seats does the home stadium of FC Porto have?,ground,hometown/location/tenant
In which country does the Ganges start?,sourceCountry,associatedBand/associatedMusicalArtist/influencedBy
Which country does the creator of Miffy come from?,creator/nationality,creator/knownFor/associatedBand
What is the capital of Canada?,capital,capital/country/birthPlace
In which U.S. state is Fort Knox located?,country,state/team/location
What is the highest mountain in Italy?,locatedInArea,country/location/locatedInArea
Where is Syngman Rhee buried?,restingPlace,child/birthPlace/deathPlace
Who created Batman?,creator,creator/associatedBand/associatedMusicalArtist
Who was the pope that founded the Vatican Television?,foundedBy,location/network/channel
In which military conflicts did Lawrence of Arabia participate?,battle,residence/birthPlace/deathPlace
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,subsidiary/targetAirport/targetAirport,subsidiary/parentCompany/owner
How many companies were founded by the founder of Facebook?,foundedBy/foundedBy,founded/associatedBand/associatedMusicalArtist
Where was Bach born?,birthPlace,known/birthPlace/deathPlace
Which museum in New York has the most visitors?,location,team/birthPlace/successor
Who played Gus Fring in Breaking Bad?,portrayer,award/team/formerTeam
Show me all books in Asimov's Foundation series.,series,nationality/series/formerTeam
Which films did Stanley Kubrick direct?,director,team/president/associatedBand
Who designed the Brooklyn Bridge?,architect,designer/instrument/associatedBand
What is the highest mountain in Australia?,locatedInArea,country/location/locatedInArea
What is the location of the Houses of Parliament?,location,location/spouse/tenant
Show me Hemingway's autobiography.,author,author/spouse/team
Who was the wife of U.S. president Lincoln?,spouse,child/spouse/parent
How many children did Benjamin Franklin have?,child,child/associatedBand/associatedMusicalArtist
Who was the successor of John F. Kennedy?,successor,successor/party/birthPlace
Is the wife of president Obama called Michelle?,spouse,influenced/associatedBand/associatedMusicalArtist
Is Michelle Obama the wife of Barack Obama?,spouse,lieutenant/child/spouse
Give me all actors starring in movies directed by William Shatner.,director/starring,starring/director/author
List the children of Margaret Thatcher.,child,child/parent/associatedBand
Is James Bond married?,spouse,associatedBand/spouse/child
Who is the editor of Forbes?,editor,editor/knownFor/employer
Who wrote the Game of Thrones theme?,composer,team/formerTeam/debutTeam
Give me all actors starring in Last Action Hero.,starring,trainer/primeMinister/successor
Who is the daughter of Robert Kennedy married to?,child/spouse,parent/child/spouse
In which country is the Limerick Lake?,country,country/associatedMusicalArtist/associatedBand
Who is the oldest child of Meryl Streep?,child,child/parent/spouse
Who is the youngest player in the Premier League?,team/league,team/formerTeam/league
Give me all video games published by Mean Hamster Software.,publisher,publisher/developer/nationality
In which UK city are the headquarters of the MI6?,headquarter/country,headquarter/city/location
Who were the parents of Queen Victoria?,parent,parent/child/successor
In which films did Julia Roberts as well as Richard Gere play?,starring/starring,successor/associatedBand/president
